model,t_abs,x,u1
cheeger_tunneling,0.001,-0.3799999999999999,-0.5752689615433916
cheeger_tunneling,0.001,-0.375,-0.5752248882648774
cheeger_tunneling,0.001,-0.3699999999999999,-0.5751789847853268
cheeger_tunneling,0.001,-0.365,-0.5751310976101861
cheeger_tunneling,0.001,-0.3599999999999999,-0.5750810528694763
cheeger_tunneling,0.001,-0.355,-0.5750286525445754
cheeger_tunneling,0.001,-0.34999999999999987,-0.5749736697791763
cheeger_tunneling,0.001,-0.345,-0.574915842994069
cheeger_tunneling,0.001,-0.33999999999999986,-0.5748548684198772
cheeger_tunneling,0.001,-0.33499999999999996,-0.5747903905084297
cheeger_tunneling,0.001,-0.33000000000000007,-0.5747219894560031
cheeger_tunneling,0.001,-0.32499999999999996,-0.5746491647276292
cheeger_tunneling,0.001,-0.32000000000000006,-0.5745713129390788
cheeger_tunneling,0.001,-0.31499999999999995,-0.5744876976072779
cheeger_tunneling,0.001,-0.31000000000000005,-0.5743974068970139
cheeger_tunneling,0.001,-0.30499999999999994,-0.5742992931551681
cheeger_tunneling,0.001,-0.30000000000000004,-0.5741918839236202
cheeger_tunneling,0.001,-0.29499999999999993,-0.5740732466051834
cheeger_tunneling,0.001,-0.29000000000000004,-0.5739407744478482
cheeger_tunneling,0.001,-0.2849999999999999,-0.5737908317310159
cheeger_tunneling,0.001,-0.28,-0.5736181301574764
cheeger_tunneling,0.001,-0.2749999999999999,-0.5734145484624038
cheeger_tunneling,0.001,-0.27,-0.5731666690164782
cheeger_tunneling,0.001,-0.2649999999999999,-0.5728498931393866
cheeger_tunneling,0.001,-0.26,-0.5724112401437176
cheeger_tunneling,0.001,-0.2549999999999999,-0.5716983967521363
cheeger_tunneling,0.001,-0.25,-0.5697976102711201
cheeger_tunneling,0.001,-0.24499999999999988,-0.5584022642120988
cheeger_tunneling,0.001,-0.24,-0.5470068814173059
cheeger_tunneling,0.001,-0.23499999999999988,-0.535611462636413
cheeger_tunneling,0.001,-0.22999999999999998,-0.5242160086190931
cheeger_tunneling,0.001,-0.22499999999999987,-0.5128205201150229
cheeger_tunneling,0.001,-0.21999999999999997,-0.5014249978738802
cheeger_tunneling,0.001,-0.21499999999999986,-0.49002944264534565
cheeger_tunneling,0.001,-0.20999999999999996,-0.4786338551791022
cheeger_tunneling,0.001,-0.20500000000000007,-0.4672382362248345
cheeger_tunneling,0.001,-0.19999999999999996,-0.45584258653222937
cheeger_tunneling,0.001,-0.19500000000000006,-0.44444690685097593
cheeger_tunneling,0.001,-0.18999999999999995,-0.4330511979307648
cheeger_tunneling,0.001,-0.18500000000000005,-0.4216554605212889
cheeger_tunneling,0.001,-0.17999999999999994,-0.4102596953722429
cheeger_tunneling,0.001,-0.17500000000000004,-0.3988639032333233
cheeger_tunneling,0.001,-0.16999999999999993,-0.3874680848542286
cheeger_tunneling,0.001,-0.16500000000000004,-0.3760722409846585
cheeger_tunneling,0.001,-0.15999999999999992,-0.36467637237431494
cheeger_tunneling,0.001,-0.15500000000000003,-0.3532804797729011
cheeger_tunneling,0.001,-0.1499999999999999,-0.34188456393012173
cheeger_tunneling,0.001,-0.14500000000000002,-0.33048862559568337
cheeger_tunneling,0.001,-0.1399999999999999,-0.3190926655192941
cheeger_tunneling,0.001,-0.135,-0.30769668445066306
cheeger_tunneling,0.001,-0.1299999999999999,-0.29630068313950103
cheeger_tunneling,0.001,-0.125,-0.28490466233552003
cheeger_tunneling,0.001,-0.11999999999999988,-0.2735086227884333
cheeger_tunneling,0.001,-0.11499999999999999,-0.2621125652479555
cheeger_tunneling,0.001,-0.10999999999999988,-0.25071649046380234
cheeger_tunneling,0.001,-0.10499999999999998,-0.23932039918569076
cheeger_tunneling,0.001,-0.09999999999999987,-0.22792429216333857
cheeger_tunneling,0.001,-0.09499999999999997,-0.21652817014646494
cheeger_tunneling,0.001,-0.08999999999999986,-0.2051320338847898
cheeger_tunneling,0.001,-0.08499999999999996,-0.193735884128034
cheeger_tunneling,0.001,-0.08000000000000007,-0.18233972162591947
cheeger_tunneling,0.001,-0.07499999999999996,-0.1709435471281687
cheeger_tunneling,0.001,-0.07000000000000006,-0.15954736138450532
cheeger_tunneling,0.001,-0.06499999999999995,-0.14815116514465326
cheeger_tunneling,0.001,-0.06000000000000005,-0.13675495915833769
cheeger_tunneling,0.001,-0.05499999999999994,-0.1253587441752839
cheeger_tunneling,0.001,-0.050000000000000044,-0.11396252094521801
cheeger_tunneling,0.001,-0.04499999999999993,-0.10256629021786674
cheeger_tunneling,0.001,-0.040000000000000036,-0.09117005274295717
cheeger_tunneling,0.001,-0.03499999999999992,-0.0797738092702169
cheeger_tunneling,0.001,-0.030000000000000027,-0.06837756054937397
cheeger_tunneling,0.001,-0.02499999999999991,-0.05698130733015653
cheeger_tunneling,0.001,-0.020000000000000018,-0.04558505036229333
cheeger_tunneling,0.001,-0.014999999999999902,-0.03418879039551319
cheeger_tunneling,0.001,-0.010000000000000009,-0.022792528179545208
cheeger_tunneling,0.001,-0.004999999999999893,-0.01139626446411853
cheeger_tunneling,0.001,0.0,1.0375070987280386e-12
cheeger_tunneling,0.001,0.004999999999999893,0.01139626446619353
cheeger_tunneling,0.001,0.010000000000000231,0.022792528181620184
cheeger_tunneling,0.001,0.015000000000000124,0.03418879039758817
cheeger_tunneling,0.001,0.020000000000000018,0.045585050364368315
cheeger_tunneling,0.001,0.02499999999999991,0.05698130733223152
cheeger_tunneling,0.001,0.03000000000000025,0.06837756055144892
cheeger_tunneling,0.001,0.03500000000000014,0.0797738092722919
cheeger_tunneling,0.001,0.040000000000000036,0.09117005274503216
cheeger_tunneling,0.001,0.04499999999999993,0.10256629021994171
cheeger_tunneling,0.001,0.04999999999999982,0.11396252094729303
cheeger_tunneling,0.001,0.05500000000000016,0.12535874417735887
cheeger_tunneling,0.001,0.06000000000000005,0.13675495916041266
cheeger_tunneling,0.001,0.06499999999999995,0.1481511651467283
cheeger_tunneling,0.001,0.06999999999999984,0.1595473613865803
cheeger_tunneling,0.001,0.07500000000000018,0.17094354713024373
cheeger_tunneling,0.001,0.08000000000000007,0.18233972162799444
cheeger_tunneling,0.001,0.08499999999999996,0.19373588413010898
cheeger_tunneling,0.001,0.08999999999999986,0.20513203388686482
cheeger_tunneling,0.001,0.0950000000000002,0.21652817014854
cheeger_tunneling,0.001,0.10000000000000009,0.2279242921654136
cheeger_tunneling,0.001,0.10499999999999998,0.23932039918776574
cheeger_tunneling,0.001,0.10999999999999988,0.2507164904658774
